flat,mrt,mrt_dist,num_mrt_2km,supermarket_dist,num_supermarket_2km,hawker,hawker_dist,num_hawker_2km,school,school_dist,num_school_2km
622 WOODLANDS DR 52,ADMIRALTY MRT STATION,0.738,4,0.534,13,Blks 20/21 Marsiling Lane,2.603,0,Woodlands Ring Primary School,0.147,10
414 CHOA CHU KANG AVE 4,CHOA CHU KANG LRT STATION,0.393,7,0.188,10,Market Street Food Centre,4.306,0,South View Primary School,0.452,7
177 BT BATOK WEST AVE 8,BUKIT BATOK MRT STATION,0.942,5,0.165,21,Market Street Food Centre,0.532,1,Princess Elizabeth Primary School,0.314,8
62A STRATHMORE AVE,QUEENSTOWN MRT STATION,0.618,4,0.193,17,ABC Brickworks Market & Food Centre,0.907,6,Queenstown Primary School,0.452,5
132 CASHEW RD,PENDING LRT STATION,0.217,14,0.419,11,Bukit Timah Market,3.896,0,Bukit Panjang Primary School,0.163,7
204A COMPASSVALE DR,SENGKANG LRT STATION,0.423,18,0.257,18,Market Street Food Centre,3.323,0,North Vista Primary School,0.575,17
83 C'WEALTH CL,COMMONWEALTH MRT STATION,0.341,7,0.403,14,Commonwealth Crescent Market,0.246,4,New Town Primary School,0.558,5
665A JURONG WEST ST 64,BOON LAY MRT STATION,0.37,2,0.262,10,Blk 505 Jurong West Street 52,2.006,0,Jurong West Primary School,0.491,11
2 HOLLAND AVE,HOLLAND VILLAGE MRT STATION,0.242,8,0.301,15,Holland Village Market & Food Centre,0.223,4,Henry Park Primary School,1.192,5
779 YISHUN AVE 2,KHATIB MRT STATION,0.527,2,0.042,16,Chong Pang Market & Food Centre,1.155,2,Peiying Primary School,0.629,10
45 TEBAN GDNS RD,JURONG EAST MRT STATION,1.455,2,0.178,15,Market Street Food Centre,2.619,0,Qifa Primary School,1.893,2
114 ANG MO KIO AVE 4,YIO CHU KANG MRT STATION,1.404,2,0.41,10,Sembawang Hill Food Centre,0.802,2,Mayflower Primary School,0.397,7
618 JURONG WEST ST 65,PIONEER MRT STATION,0.561,2,0.359,8,Blk 505 Jurong West Street 52,2.188,0,Jurong West Primary School,0.324,10
169 HOUGANG AVE 1,KOVAN MRT STATION,1.088,5,0.25,10,Market Street Food Centre,0.929,2,Paya Lebar Methodist Girls' School (Primary),0.592,6
124 MCNAIR RD,BOON KENG MRT STATION,0.636,13,0.452,29,Pek Kio Market & Food Centre,0.693,10,Hong Wen School,0.416,5
275C JURONG WEST ST 25,BOON LAY MRT STATION,1.648,2,0.485,8,Blk 505 Jurong West Street 52,1.786,1,Corporation Primary School,0.586,8
468 HOUGANG AVE 8,HOUGANG MRT STATION,0.604,8,0.399,14,Market Street Food Centre,2.041,0,CHIJ Our Lady of the Nativity,0.061,12
673A JURONG WEST ST 65,BOON LAY MRT STATION,0.827,2,0.522,9,Blk 505 Jurong West Street 52,2.004,0,West Grove Primary School,0.229,11
451 JURONG WEST ST 42,LAKESIDE MRT STATION,0.887,2,0.118,9,Blk 505 Jurong West Street 52,0.246,2,Rulang Primary School,0.568,6
547D SEGAR RD,SEGAR LRT STATION,0.142,11,0.097,8,Bukit Timah Market,5.523,0,West Spring Primary School,0.318,7
390 TAMPINES AVE 7,TAMPINES EAST MRT STATION,0.336,5,0.333,17,Market Street Food Centre,1.875,1,East Spring Primary School,0.595,11
366 YISHUN RING RD,YISHUN MRT STATION,1.211,2,0.403,16,Chong Pang Market & Food Centre,1.948,2,Huamin Primary School,0.296,9
747 YISHUN ST 72,YISHUN MRT STATION,0.216,2,0.216,16,Chong Pang Market & Food Centre,0.656,2,Jiemin Primary School,0.346,10
269A COMPASSVALE LINK,RANGGUNG LRT STATION,0.186,14,0.248,16,Market Street Food Centre,2.923,0,North Vista Primary School,0.107,17
640 WOODLANDS RING RD,ADMIRALTY MRT STATION,0.317,4,0.243,15,Blks 20/21 Marsiling Lane,2.873,0,Greenwood Primary School,0.329,10
589D MONTREAL DR,SEMBAWANG MRT STATION,0.49,1,0.576,9,Chong Pang Market & Food Centre,2.047,0,Wellington Primary School,0.326,5
287C JURONG EAST ST 21,JURONG EAST MRT STATION,0.594,4,0.381,19,Market Street Food Centre,1.008,1,Yuhua Primary School,0.688,6
27A JLN MEMBINA,TIONG BAHRU MRT STATION,0.519,6,0.127,18,Blk 112 Jalan Bukit Merah,0.295,8,Zhangde Primary School,0.271,8
555 PASIR RIS ST 51,PASIR RIS MRT STATION,0.626,4,0.481,16,Market Street Food Centre,2.631,0,Casuarina Primary School,0.752,10
