,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
0,ABC BRICKWORKS MARKET & FOOD CENTRE,6,JALAN BUKIT MERAH,ABC BRICKWORKS MARKET & FOOD CENTRE,6 JALAN BUKIT MERAH ABC BRICKWORKS MARKET & FOOD CENTRE SINGAPORE 150006,150006,25196.8643863667,29922.5141526069,1.28688297261475,103.808131274161,103.808131274161,ABC Brickworks Market & Food Centre
0,GOLDEN MILE FOOD CENTRE,505,BEACH ROAD,GOLDEN MILE FOOD CENTRE,505 BEACH ROAD GOLDEN MILE FOOD CENTRE SINGAPORE 199583,199583,31400.9425575882,31720.3330156244,1.30314175320333,103.863877615334,103.863877615334,Golden Mile Food Centre
0,MARKET & HAWKER CENTRE (BLK 320 SHUNFU ROAD),320,SHUNFU ROAD,MARKET & HAWKER CENTRE (BLK 320 SHUNFU ROAD),320 SHUNFU ROAD MARKET & HAWKER CENTRE (BLK 320 SHUNFU ROAD) SINGAPORE 570320,570320,28413.2464859849,37123.6313303821,1.35200745401591,103.837031862103,103.837031862103,Blk 320 Shunfu Road
0,HONG LIM FOOD CENTRE AND MARKET,531A,UPPER CROSS STREET,HONG LIM FOOD CENTRE AND MARKET,531A UPPER CROSS STREET HONG LIM FOOD CENTRE AND MARKET SINGAPORE 051531,051531,29386.4890156155,29750.0976683833,1.28532379322674,103.845776735598,103.845776735598,Hong Lim Market & Food Centre
0,TANGLIN HALT MARKET,48A,TANGLIN HALT ROAD,TANGLIN HALT MARKET,48A TANGLIN HALT ROAD TANGLIN HALT MARKET SINGAPORE 148813,148813,24040.1990861287,31433.1024718955,1.30054407507427,103.797737980247,103.797737980247,Tanglin Halt Market
0,PCF SPARKLETOTS PRESCHOOL @ MOUNTBATTEN BLK 51 (KN),51,OLD AIRPORT ROAD,PCF SPARKLETOTS PRESCHOOL @ MOUNTBATTEN BLK 51 (KN),51 OLD AIRPORT ROAD PCF SPARKLETOTS PRESCHOOL @ MOUNTBATTEN BLK 51 (KN) SINGAPORE 390051,390051,33833.0903097549,32269.7166850865,1.30810982136012,103.885731681696,103.885731681696,Blk 51 Old Airport Road
0,PEOPLE'S PARK FOOD CENTRE,32,NEW MARKET ROAD,PEOPLE'S PARK FOOD CENTRE,32 NEW MARKET ROAD PEOPLE'S PARK FOOD CENTRE SINGAPORE 050032,050032,29029.3480861438,29712.0183655731,1.28497943108466,103.84256768083,103.84256768083,People's Park Food Centre
0,PEK KIO MARKET & FOOD CENTRE,41A,CAMBRIDGE ROAD,PEK KIO MARKET & FOOD CENTRE,41A CAMBRIDGE ROAD PEK KIO MARKET & FOOD CENTRE SINGAPORE 211041,211041,29882.4041102333,33156.6338657755,1.31613128029458,103.850232935162,103.850232935162,Pek Kio Market & Food Centre
0,ALBERT CENTRE MARKET & FOOD CENTRE,270,QUEEN STREET,ALBERT CENTRE MARKET & FOOD CENTRE,270 QUEEN STREET ALBERT CENTRE MARKET & FOOD CENTRE SINGAPORE 180270,180270,30325.2105163326,31483.6634436883,1.30100149635856,103.854211650138,103.854211650138,Market Street Food Centre
1,HONG LIM FOOD CENTRE AND MARKET,531A,UPPER CROSS STREET,HONG LIM FOOD CENTRE AND MARKET,531A UPPER CROSS STREET HONG LIM FOOD CENTRE AND MARKET SINGAPORE 051531,051531,29386.4890156155,29750.0976683833,1.28532379322674,103.845776735598,103.845776735598,Market Street Food Centre
