,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
0,KRANJI PRIMARY SCHOOL,11,CHOA CHU KANG STREET 54,KRANJI PRIMARY SCHOOL,11 CHOA CHU KANG STREET 54 KRANJI PRIMARY SCHOOL SINGAPORE 689189,689189,18434.245239621,41718.5305804759,1.39356050497104,103.747362720939,103.747362720939,Kranji Primary School
0,FIRST TOA PAYOH PRIMARY SCHOOL,7,LORONG 8 TOA PAYOH,FIRST TOA PAYOH PRIMARY SCHOOL,7 LORONG 8 TOA PAYOH FIRST TOA PAYOH PRIMARY SCHOOL SINGAPORE 319252,319252,30471.8817195026,35831.634454662,1.34032299499938,103.855529906182,103.855529906182,First Toa Payoh Primary School
0,JIEMIN PRIMARY SCHOOL,2,YISHUN STREET 71,JIEMIN PRIMARY SCHOOL,2 YISHUN STREET 71 JIEMIN PRIMARY SCHOOL SINGAPORE 768515,768515,27678.0421859771,45492.0549418237,1.42768847665227,103.830425490093,103.830425490093,Jiemin Primary School
0,FAIRFIELD METHODIST SCHOOL (PRIMARY),100,DOVER ROAD,FAIRFIELD METHODIST SCHOOL (PRIMARY),100 DOVER ROAD FAIRFIELD METHODIST SCHOOL (PRIMARY) SINGAPORE 139648,139648,22671.3515878748,31432.7656800412,1.30054082453424,103.785438270044,103.785438270044,Fairfield Methodist School (Primary)
0,ZHENGHUA PRIMARY SCHOOL,9,FAJAR ROAD,ZHENGHUA PRIMARY SCHOOL,9 FAJAR ROAD ZHENGHUA PRIMARY SCHOOL SINGAPORE 679002,679002,20877.0395431835,40169.1169131137,1.37954887512229,103.769313521752,103.769313521752,Zhenghua Primary School
0,HUAMIN PRIMARY SCHOOL,21,YISHUN AVENUE 11,HUAMIN PRIMARY SCHOOL,21 YISHUN AVENUE 11 HUAMIN PRIMARY SCHOOL SINGAPORE 768857,768857,29215.4177919272,45412.9266837817,1.42697284512936,103.844240226564,103.844240226564,Huamin Primary School
0,QUEENSTOWN PRIMARY SCHOOL,310,MARGARET DRIVE,QUEENSTOWN PRIMARY SCHOOL,310 MARGARET DRIVE QUEENSTOWN PRIMARY SCHOOL SINGAPORE 149303,149303,25132.029336133,30885.6966638304,1.29559365009015,103.807548617332,103.807548617332,Queenstown Primary School
0,CHIJ (KATONG) PRIMARY,17,MARTIA ROAD,CHIJ (KATONG) PRIMARY,17 MARTIA ROAD CHIJ (KATONG) PRIMARY SINGAPORE 424821,424821,36656.9804726057,32090.1643723603,1.30648535277087,103.911105620496,103.911105620496,CHIJ (Katong) Primary
0,CHIJ OUR LADY OF THE NATIVITY,1257,UPPER SERANGOON ROAD,CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD CHIJ OUR LADY OF THE NATIVITY SINGAPORE 534793,534793,35151.0338091562,39478.4768616967,1.37330297140128,103.897575728303,103.897575728303,CHIJ Our Lady of the Nativity
0,MEE TOH SCHOOL,21,EDGEDALE PLAINS,MEE TOH SCHOOL,21 EDGEDALE PLAINS MEE TOH SCHOOL SINGAPORE 828867,828867,36376.6569616906,41835.4725095034,1.3946184538592,103.908589494228,103.908589494228,Mee Toh School
0,FUCHUN PRIMARY SCHOOL,23,WOODLANDS AVENUE 1,FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1 FUCHUN PRIMARY SCHOOL SINGAPORE 739063,739063,21865.3411816815,45800.7908879817,1.43047990810126,103.778192944298,103.778192944298,Fuchun Primary School
0,HOLY INNOCENTS' PRIMARY SCHOOL,5,LORONG LOW KOON,HOLY INNOCENTS' PRIMARY SCHOOL,5 LORONG LOW KOON HOLY INNOCENTS' PRIMARY SCHOOL SINGAPORE 536451,536451,34765.9036816582,38774.6943912152,1.36693830877349,103.894114899795,103.894114899795,Holy Innocents' Primary School
